neighborhood,Neighborhood_ID
DOWNTOWN-METROTECH,1
DOWNTOWN-FULTON FERRY,2
BROOKLYN HEIGHTS,3
MILL BASIN,4
WILLIAMSBURG-SOUTH,5
WILLIAMSBURG-NORTH,6
NAVY YARD,7
FORT GREENE,8
DOWNTOWN-FULTON MALL,9
CANARSIE,10
GREENPOINT,11
BROWNSVILLE,12
CONEY ISLAND,13
BUSH TERMINAL,14
BROOKLYN-UNKNOWN,15
OCEAN HILL,16
PARK SLOPE,17
KENSINGTON,18
GOWANUS,19
BUSHWICK,20
BEDFORD STUYVESANT,21
MIDWOOD,22
COBBLE HILL,23
CLINTON HILL,24
FLATBUSH-NORTH,25
FLATBUSH-CENTRAL,26
BOERUM HILL,27
CROWN HEIGHTS,28
SUNSET PARK,29
SHEEPSHEAD BAY,30
WYCKOFF HEIGHTS,31
BAY RIDGE,32
WILLIAMSBURG-EAST,33
BRIGHTON BEACH,34
RED HOOK,35
GRAVESEND,36
SPRING CREEK,37
CYPRESS HILLS,38
PROSPECT HEIGHTS,39
FLATBUSH-EAST,40
MARINE PARK,41
BOROUGH PARK,42
EAST NEW YORK,43
OCEAN PARKWAY-NORTH,44
WILLIAMSBURG-CENTRAL,45
BERGEN BEACH,46
FLATBUSH-LEFFERTS GARDEN,47
CARROLL GARDENS,48
MADISON,49
BENSONHURST,50
PARK SLOPE SOUTH,51
COBBLE HILL-WEST,52
BATH BEACH,53
OCEAN PARKWAY-SOUTH,54
FLATLANDS,55
OLD MILL BASIN,56
JAMAICA BAY,57
DYKER HEIGHTS,58
MANHATTAN BEACH,59
WINDSOR TERRACE,60
GERRITSEN BEACH,61
SEAGATE,62
3004,63
